gene_name,gene_id_x,transcript_id,exon_coverage,CDS_coverage,start,end,nucleotide_count,variant_count
ERLIN1,ENSG00000107566,ENST00000421367,40,48,101909851,101948091,38241,0
VLDLR,ENSG00000147852,ENST00000382100,76,83,2621834,2660053,38220,0
TMPRSS6,ENSG00000187045,ENST00000346753,67,73,37461479,37499696,38218,0
SLAMF6,ENSG00000162739,ENST00000368057,61,66,160454845,160493043,38199,0
MEIOB,ENSG00000162039,ENST00000412554,26,32,1883984,1922179,38196,0
CDH5,ENSG00000179776,ENST00000341529,55,66,66400533,66438686,38154,0
STAMBP,ENSG00000124356,ENST00000394070,48,56,74056147,74094299,38153,0
MOGAT1,ENSG00000124003,ENST00000446656,30,46,223536505,223574649,38145,0
NXPE1,ENSG00000095110,ENST00000251921,29,54,114392437,114430580,38144,0
IGFN1,ENSG00000163395,ENST00000335211,38,43,201159953,201198080,38128,0
OPTN,ENSG00000123240,ENST00000378748,66,79,13142173,13180291,38119,0
OTOP1,ENSG00000163982,ENST00000296358,58,58,4190530,4228616,38087,0
ART3,ENSG00000156219,ENST00000355810,52,58,76995863,77033944,38082,0
MXRA5,ENSG00000101825,ENST00000217939,37,48,3226606,3264682,38077,0
NCAPH,ENSG00000121152,ENST00000240423,52,57,97001525,97039583,38059,0
CTTN,ENSG00000085733,ENST00000376561,58,67,70244647,70282685,38039,0
ACADM,ENSG00000117054,ENST00000420607,68,67,76190465,76228494,38030,0
RP11-433C9.2,ENSG00000224153,ENST00000419960,26,35,184119418,184157436,38019,0
ZNF782,ENSG00000196597,ENST00000481138,32,53,99578754,99616770,38017,0
STK17B,ENSG00000081320,ENST00000263955,29,45,196998290,197036299,38010,0
VSTM2B,ENSG00000187135,ENST00000335523,21,32,30017406,30055386,37981,0
GRAMD2,ENSG00000175318,ENST00000309731,57,71,72452148,72490126,37979,0
TOMM70A,ENSG00000154174,ENST00000284320,44,54,100082275,100120242,37968,0
FGF18,ENSG00000156427,ENST00000274625,42,60,170846660,170884627,37968,0
PAXBP1,ENSG00000159086,ENST00000331923,47,51,34106210,34144169,37960,0
NOP58,ENSG00000055044,ENST00000264279,42,54,203130439,203168389,37951,0
ATIC,ENSG00000138363,ENST00000236959,72,74,216176540,216214486,37947,0
HEPACAM2,ENSG00000188175,ENST00000394468,48,54,92817899,92855837,37939,0
TTK,ENSG00000112742,ENST00000369798,44,47,80714322,80752244,37923,0
C22orf34,ENSG00000188511,ENST00000400023,26,34,50013292,50051190,37899,0
CYP3A43,ENSG00000021461,ENST00000222382,54,53,99425739,99463624,37886,0
DCN,ENSG00000011465,ENST00000052754,54,72,91539025,91576900,37876,0
NPL,ENSG00000135838,ENST00000367553,72,77,182761394,182799267,37874,0
TSNAX,ENSG00000116918,ENST00000366639,41,55,231664399,231702270,37872,0
MOB4,ENSG00000115540,ENST00000323303,35,40,198380556,198418423,37868,0
ZNF91,ENSG00000167232,ENST00000300619,38,61,23540498,23578362,37865,0
ACOX1,ENSG00000161533,ENST00000293217,77,86,73937588,73975444,37857,0
MYB,ENSG00000118513,ENST00000341911,57,58,135502453,135540305,37853,0
FYTTD1,ENSG00000122068,ENST00000241502,39,44,197476621,197514467,37847,0
STX11,ENSG00000135604,ENST00000367568,20,76,144471663,144509507,37845,0
TOR1AIP2,ENSG00000169905,ENST00000367612,20,74,179809102,179846934,37833,0
TEKT3,ENSG00000125409,ENST00000395930,48,72,15207128,15244958,37831,0
ZNF138,ENSG00000197008,ENST00000440155,44,56,64254803,64292620,37818,0
GPA33,ENSG00000143167,ENST00000367868,48,61,167022073,167059868,37796,0
CDC16,ENSG00000130177,ENST00000360383,49,54,115000362,115038150,37789,0
TAF15,ENSG00000172660,ENST00000588240,65,75,34136459,34174246,37788,0
TCF25,ENSG00000141002,ENST00000263346,53,57,89940020,89977792,37773,0
MLH3,ENSG00000119684,ENST00000355774,73,84,75480467,75518235,37769,0
MDM1,ENSG00000111554,ENST00000303145,46,52,68688348,68726112,37765,0
COL20A1,ENSG00000101203,ENST00000358894,37,39,61924538,61962285,37748,0
SLC26A3,ENSG00000091138,ENST00000340010,76,79,107405917,107443652,37736,0
LY96,ENSG00000154589,ENST00000284818,58,61,74903587,74941322,37736,0
BRD3,ENSG00000169925,ENST00000303407,39,52,136895427,136933139,37713,0
MATR3,ENSG00000015479,ENST00000394805,61,69,138629337,138667048,37712,0
ADAP2,ENSG00000184060,ENST00000330889,50,56,29248698,29286340,37643,0
PPP2R4,ENSG00000119383,ENST00000393370,42,53,131873597,131911225,37629,0
TECPR1,ENSG00000205356,ENST00000447648,37,45,97843936,97881563,37628,0
FUT5,ENSG00000130383,ENST00000252675,52,63,5866182,5903798,37617,0
PIH1D3,ENSG00000080572,ENST00000535523,27,37,106449862,106487472,37611,0
OLFML2A,ENSG00000185585,ENST00000373580,51,54,127539550,127577157,37608,0
TERF1,ENSG00000147601,ENST00000276603,29,36,73921099,73958706,37608,0
CERS5,ENSG00000139624,ENST00000317551,49,50,50523608,50561205,37598,0
SEC16A,ENSG00000148396,ENST00000313050,50,52,139334549,139372141,37593,0
GLE1,ENSG00000119392,ENST00000309971,73,82,131266979,131304567,37589,0
OSTN,ENSG00000188729,ENST00000339051,31,54,190930322,190967910,37589,0
RP4-559A3.7,ENSG00000255835,ENST00000432920,47,56,226074396,226111978,37583,0
ACADL,ENSG00000115361,ENST00000233710,46,67,211052663,211090215,37553,0
EIF2A,ENSG00000144895,ENST00000460851,33,38,150264481,150302029,37549,0
RASGEF1C,ENSG00000146090,ENST00000393371,54,61,179527804,179565349,37546,0
BRI3BP,ENSG00000184992,ENST00000341446,30,52,125478246,125515777,37532,0
ETFDH,ENSG00000171503,ENST00000511912,61,73,159593277,159630775,37499,0
PRRC1,ENSG00000164244,ENST00000296666,40,57,126853301,126890781,37481,0
DCK,ENSG00000156136,ENST00000286648,35,43,71859156,71896631,37476,0
BFSP1,ENSG00000125864,ENST00000377873,56,59,17474550,17512014,37465,0
SRPRB,ENSG00000144867,ENST00000466490,54,63,133502877,133540336,37460,0
NUCKS1,ENSG00000069275,ENST00000367142,40,55,205681947,205719404,37458,0
C13orf35,ENSG00000197595,ENST00000356049,11,40,113301358,113338811,37454,0
WDR12,ENSG00000138442,ENST00000261015,47,53,203739505,203776949,37445,0
SLC30A5,ENSG00000145740,ENST00000396591,44,46,68389473,68426896,37424,0
ZNF141,ENSG00000131127,ENST00000240499,41,58,331624,369047,37424,0
GPI,ENSG00000105220,ENST00000415930,74,79,34855645,34893061,37417,0
RASAL1,ENSG00000111344,ENST00000546530,48,51,113536624,113574029,37406,0
UTP18,ENSG00000011260,ENST00000225298,43,46,49337889,49375294,37406,0
ADAMTS13,ENSG00000160323,ENST00000371929,71,73,136287120,136324508,37389,0
HTRA3,ENSG00000170801,ENST00000307358,43,46,8271492,8308838,37347,0
TMEM248,ENSG00000106609,ENST00000341567,46,68,66386212,66423538,37327,0
NUP35,ENSG00000163002,ENST00000295119,45,50,183989083,184026408,37326,0
ZFP2,ENSG00000198939,ENST00000361362,9,61,178322895,178360213,37319,0
KCTD19,ENSG00000168676,ENST00000304372,55,63,67323351,67360666,37316,0
MAL2,ENSG00000147676,ENST00000276681,23,34,120220610,120257909,37300,0
TCTN2,ENSG00000168778,ENST00000303372,74,84,124155660,124192948,37289,0
PGPEP1L,ENSG00000183571,ENST00000378919,47,63,99511509,99548791,37283,0
NCKAP5L,ENSG00000167566,ENST00000335999,34,47,50184929,50222208,37280,0
RGAG1,ENSG00000243978,ENST00000465301,27,77,109662285,109699562,37278,0
SLC7A6,ENSG00000103064,ENST00000566454,48,74,68298463,68335722,37260,0
MDM2,ENSG00000135679,ENST00000462284,50,59,69201956,69239214,37259,0
ALDH1A3,ENSG00000184254,ENST00000329841,44,50,101419581,101456831,37251,0
AARS,ENSG00000090861,ENST00000261772,74,84,70286198,70323446,37249,0
TBPL1,ENSG00000028839,ENST00000237264,34,44,134274333,134311570,37238,0
SERPINI2,ENSG00000114204,ENST00000476257,41,50,167159577,167196792,37216,0
SKIL,ENSG00000136603,ENST00000458537,45,60,170077411,170114623,37213,0
ETF1,ENSG00000120705,ENST00000360541,45,54,137841788,137878989,37202,0
FBXO40,ENSG00000163833,ENST00000338040,37,78,121311966,121349139,37174,0
ARPC2,ENSG00000163466,ENST00000295685,47,53,219081933,219119079,37147,0
PAPLN,ENSG00000100767,ENST00000340738,45,49,73704205,73741348,37144,0
VWCE,ENSG00000167992,ENST00000335613,45,47,61025762,61062896,37135,0
E2F5,ENSG00000133740,ENST00000416274,36,41,86089622,86126750,37129,0
CLPX,ENSG00000166855,ENST00000300107,46,50,65440557,65477680,37124,0
C11orf70,ENSG00000137691,ENST00000434758,37,44,101918174,101955291,37118,0
RASA4,ENSG00000105808,ENST00000262940,9,9,102220093,102257204,37112,0
FBP1,ENSG00000165140,ENST00000415431,64,76,97365423,97402531,37109,0
MEF2D,ENSG00000116604,ENST00000348159,42,54,156433519,156470620,37102,0
IL1R1,ENSG00000115594,ENST00000410023,43,52,102759246,102796334,37089,0
ZNF41,ENSG00000147124,ENST00000377065,48,65,47305278,47342345,37068,0
HDAC7,ENSG00000061273,ENST00000080059,47,49,48176505,48213568,37064,0
ACIN1,ENSG00000100813,ENST00000262710,59,66,23527776,23564823,37048,0
AMZ1,ENSG00000174945,ENST00000312371,37,53,2719156,2756163,37008,0
FRRS1L,ENSG00000260230,ENST00000561981,41,52,111892573,111929571,36999,0
FAIM2,ENSG00000135472,ENST00000320634,61,63,50260679,50297670,36992,0
EIF2AK1,ENSG00000086232,ENST00000199389,45,50,6061881,6098861,36981,0
FAM207A,ENSG00000160256,ENST00000291634,44,49,46359925,46396904,36980,0
PCDHGC3,ENSG00000240184,ENST00000308177,78,86,140855580,140892542,36963,0
VPS33A,ENSG00000139719,ENST00000267199,48,52,122714111,122751068,36958,0
GPRC6A,ENSG00000173612,ENST00000310357,67,65,117113248,117150198,36951,0
SMC3,ENSG00000108055,ENST00000361804,62,68,112327449,112364394,36946,0
ELMOD3,ENSG00000115459,ENST00000315658,45,57,85581926,85618871,36946,0
SLC22A1,ENSG00000175003,ENST00000366963,57,60,160542821,160579750,36930,0
POLA2,ENSG00000014138,ENST00000265465,55,60,65029233,65066156,36924,0
B4GALNT2,ENSG00000167080,ENST00000300404,62,67,47210329,47247236,36908,0
NAMPT,ENSG00000105835,ENST00000222553,42,52,105888731,105925638,36908,0
NDNF,ENSG00000173376,ENST00000379692,36,59,121956768,121993673,36906,0
RANGAP1,ENSG00000100401,ENST00000455915,51,54,41641619,41678518,36900,0
PTGR1,ENSG00000106853,ENST00000407693,42,52,114325247,114362135,36889,0
ERCC3,ENSG00000163161,ENST00000285398,77,82,128014866,128051752,36887,0
AOC1,ENSG00000002726,ENST00000493429,39,67,150521715,150558592,36878,0
SLC35G2,ENSG00000168917,ENST00000446465,13,87,136537861,136574734,36874,0
ANO7,ENSG00000146205,ENST00000274979,50,56,242127924,242164791,36868,0
BCAR1,ENSG00000050820,ENST00000418647,34,42,75263057,75299905,36849,0
KLF3,ENSG00000109787,ENST00000261438,31,67,38665817,38702663,36847,0
TMEM63A,ENSG00000196187,ENST00000366835,44,57,226033237,226070069,36833,0
STAG3,ENSG00000066923,ENST00000426455,65,71,99775186,99812003,36818,0
MCM6,ENSG00000076003,ENST00000264156,52,57,136597196,136633996,36801,0
WDR3,ENSG00000065183,ENST00000349139,48,57,118472391,118509165,36775,0
TXNRD3NB,ENSG00000206483,ENST00000383572,20,41,126290625,126327398,36774,0
GNPAT,ENSG00000116906,ENST00000366647,76,83,231376956,231413719,36764,0
IGHMBP2,ENSG00000132740,ENST00000255078,66,76,68671310,68708067,36758,0
BTK,ENSG00000010671,ENST00000308731,70,82,100604438,100641183,36746,0
NUB1,ENSG00000013374,ENST00000568733,40,44,151038797,151075535,36739,0
CCDC80,ENSG00000091986,ENST00000206423,47,63,112323407,112360116,36710,0
IL1R2,ENSG00000115590,ENST00000332549,50,64,102608306,102645006,36701,0
FDFT1,ENSG00000079459,ENST00000220584,52,60,11660120,11696818,36699,0
COL1A2,ENSG00000164692,ENST00000297268,69,77,94023873,94060544,36672,0
GTF3C3,ENSG00000119041,ENST00000263956,45,53,197627756,197664425,36670,0
ALDH9A1,ENSG00000143149,ENST00000354775,46,61,165631453,165668100,36648,0
KIF5A,ENSG00000155980,ENST00000455537,76,82,57943781,57980415,36635,0
PARP9,ENSG00000138496,ENST00000360356,55,68,122246806,122283424,36619,0
HS3ST1,ENSG00000002587,ENST00000002596,12,56,11394774,11431389,36616,0
RPP30,ENSG00000148688,ENST00000413330,46,53,92631709,92668312,36604,0
HABP2,ENSG00000148702,ENST00000351270,57,62,115312785,115349358,36574,0
ASIC5,ENSG00000256394,ENST00000537611,23,51,156750881,156787425,36545,0
ANKRD10,ENSG00000088448,ENST00000267339,41,53,111530887,111567416,36530,0
GPR56,ENSG00000205336,ENST00000388812,65,88,57662419,57698944,36526,0
AIFM1,ENSG00000156709,ENST00000287295,77,79,129263345,129299861,36517,0
CIRH1A,ENSG00000141076,ENST00000314423,76,85,69166418,69202924,36507,0
MTARC2,ENSG00000117791,ENST00000366913,44,47,220921676,220958150,36475,0
LAMB3,ENSG00000196878,ENST00000391911,80,82,209788220,209824679,36460,0
YWHAZ,ENSG00000164924,ENST00000395957,38,56,101928753,101965211,36459,0
C1orf100,ENSG00000173728,ENST00000308105,44,61,244515937,244552393,36457,0
FBXW2,ENSG00000119402,ENST00000608872,35,54,123519252,123555690,36439,0
FAM204A,ENSG00000165669,ENST00000369183,35,50,120065401,120101832,36432,0
RMDN1,ENSG00000176623,ENST00000406452,38,43,87484579,87521009,36431,0
BFAR,ENSG00000103429,ENST00000261658,54,73,14726672,14763093,36422,0
ADHFE1,ENSG00000147576,ENST00000396623,49,50,67344721,67381142,36422,0
TECR,ENSG00000099797,ENST00000215567,81,82,14640372,14676790,36419,0
PON3,ENSG00000105852,ENST00000265627,79,86,94989256,95025673,36418,0
CCDC92,ENSG00000119242,ENST00000238156,39,71,124420956,124457371,36416,0
FIBCD1,ENSG00000130720,ENST00000372338,35,46,133777827,133814237,36411,0
MNS1,ENSG00000138587,ENST00000260453,41,55,56720929,56757335,36407,0
PSKH1,ENSG00000159792,ENST00000291041,15,72,67927175,67963581,36407,0
CAV1,ENSG00000105974,ENST00000341049,47,82,116164839,116201230,36392,0
ITGB4,ENSG00000132470,ENST00000200181,76,79,73717516,73753899,36384,0
NLRP13,ENSG00000173572,ENST00000342929,65,65,56407311,56443677,36367,0
JAG1,ENSG00000101384,ENST00000254958,77,82,10618332,10654694,36363,0
RACGAP1,ENSG00000161800,ENST00000434422,51,62,50382945,50419307,36363,0
KMT2D,ENSG00000167548,ENST00000301067,57,60,49412758,49449107,36350,0
NPFFR1,ENSG00000148734,ENST00000277942,41,49,72007085,72043432,36348,0
C3orf35,ENSG00000198590,ENST00000328376,11,58,37440653,37476988,36336,0
RNF32,ENSG00000105982,ENST00000405335,51,60,156433478,156469789,36312,0
PGM2,ENSG00000169299,ENST00000381967,52,54,37828255,37864558,36304,0
GYG1,ENSG00000163754,ENST00000345003,59,77,148709128,148745419,36292,0
MRPL42,ENSG00000198015,ENST00000549982,30,43,93861264,93897545,36282,0
SLC8B1,ENSG00000089060,ENST00000552014,52,61,113736564,113772835,36272,0
ATG4B,ENSG00000168397,ENST00000404914,40,43,242577027,242613272,36246,0
ZBED4,ENSG00000100426,ENST00000216268,15,56,50247490,50283726,36237,0
DDX19B,ENSG00000157349,ENST00000288071,55,61,70332956,70369186,36231,0
THEM4,ENSG00000159445,ENST00000368814,34,42,151846060,151882284,36225,0
ANKLE2,ENSG00000176915,ENST00000357997,50,59,133302254,133338474,36221,0
KLHL12,ENSG00000117153,ENST00000367261,57,65,202860228,202896390,36163,0
KCNG2,ENSG00000178342,ENST00000316249,12,19,77623668,77659816,36149,0
HEXB,ENSG00000049860,ENST00000261416,70,78,73980969,74017113,36145,0
WIPI1,ENSG00000070540,ENST00000262139,54,61,66417423,66453562,36140,0
RAB21,ENSG00000080371,ENST00000261263,33,39,72148654,72184699,36046,0
ZMAT5,ENSG00000100319,ENST00000397781,39,60,30126948,30162969,36022,0
FAM83G,ENSG00000188522,ENST00000388995,57,64,18872102,18908117,36016,0
PLEKHA3,ENSG00000116095,ENST00000234453,42,46,179345195,179381189,35995,0
SAFB2,ENSG00000130254,ENST00000252542,48,55,5587010,5622991,35982,0
P4HA2,ENSG00000072682,ENST00000401867,56,68,131527531,131563508,35978,0
PTCD3,ENSG00000132300,ENST00000254630,50,54,86333305,86369280,35976,0
CLCN1,ENSG00000188037,ENST00000343257,81,81,143013219,143049176,35958,0
SUCLG1,ENSG00000163541,ENST00000393868,56,60,84650647,84686604,35958,0
NOD2,ENSG00000167207,ENST00000300589,76,85,50731050,50766988,35939,0
SNTA1,ENSG00000101400,ENST00000217381,62,70,31995761,32031698,35938,0
PLEKHG7,ENSG00000187510,ENST00000344636,40,50,93130311,93166231,35921,0
RP11-315D16.2,ENSG00000260007,ENST00000562767,63,74,68486139,68522056,35918,0
UROC1,ENSG00000159650,ENST00000383579,78,78,126200698,126236596,35899,0
BBS2,ENSG00000125124,ENST00000245157,76,84,56518297,56554195,35899,0
GLIPR1L1,ENSG00000173401,ENST00000312442,30,43,75728463,75764340,35878,0
RBBP5,ENSG00000117222,ENST00000264515,51,59,205055270,205091143,35874,0
PLSCR2,ENSG00000163746,ENST00000497985,35,44,146151232,146187088,35857,0
RARRES1,ENSG00000118849,ENST00000237696,31,40,158414681,158450485,35805,0
CYBRD1,ENSG00000071967,ENST00000321348,48,67,172378858,172414643,35786,0
NR1I2,ENSG00000144852,ENST00000337940,65,80,119501557,119537332,35776,0
NUDT9,ENSG00000170502,ENST00000302174,43,50,88343734,88379497,35764,0
CTSS,ENSG00000163131,ENST00000368985,44,54,150702672,150738433,35762,0
PI4K2A,ENSG00000155252,ENST00000370631,57,62,99400443,99436191,35749,0
HEATR6,ENSG00000068097,ENST00000184956,49,50,58120555,58156292,35738,0
IYD,ENSG00000009765,ENST00000229447,73,79,150690028,150725764,35737,0
PLEC,ENSG00000178209,ENST00000322810,71,72,144989321,145025044,35724,0
PI4KB,ENSG00000143393,ENST00000368875,57,70,151264413,151300133,35721,0
DPH5,ENSG00000117543,ENST00000370109,42,56,101455619,101491328,35710,0
KLHL25,ENSG00000183655,ENST00000337975,17,74,86302554,86338261,35708,0
TRMT44,ENSG00000155275,ENST00000389737,41,47,8442550,8478253,35704,0
RBPMS2,ENSG00000166831,ENST00000300069,51,54,65032097,65067786,35690,0
PDCL2,ENSG00000163440,ENST00000295645,27,31,56422692,56458379,35688,0
KPNB1,ENSG00000108424,ENST00000290158,57,64,45727204,45762871,35668,0
CR2,ENSG00000117322,ENST00000367057,73,79,207627575,207663240,35666,0
OBFC1,ENSG00000107960,ENST00000224950,50,57,105642300,105677963,35664,0
SMC4,ENSG00000113810,ENST00000357388,41,46,160117092,160152750,35659,0
HELB,ENSG00000127311,ENST00000247815,56,57,66696325,66731979,35655,0
RCHY1,ENSG00000163743,ENST00000324439,34,43,76404247,76439895,35649,0
IRAK1BP1,ENSG00000146243,ENST00000369940,40,42,79577189,79612819,35631,0
ALKBH1,ENSG00000100601,ENST00000216489,48,65,78138747,78174363,35617,0
SHMT1,ENSG00000176974,ENST00000316694,67,79,18231187,18266801,35615,0
GBAS,ENSG00000146729,ENST00000322090,46,51,56032274,56067874,35601,0
BTLA,ENSG00000186265,ENST00000334529,45,59,112182815,112218408,35594,0
RINT1,ENSG00000135249,ENST00000257700,50,52,105172532,105208124,35593,0
CXXC5,ENSG00000171604,ENST00000302517,21,66,139027877,139063467,35591,0
SLC6A16,ENSG00000063127,ENST00000335875,56,63,49792895,49828482,35588,0
ANGPTL2,ENSG00000136859,ENST00000373425,42,86,129849611,129885162,35552,0
LRRC8A,ENSG00000136802,ENST00000259324,26,77,131644781,131680313,35533,0
HHIPL1,ENSG00000182218,ENST00000330710,42,46,100111447,100146906,35460,0
TLN1,ENSG00000137076,ENST00000314888,67,69,35696945,35732392,35448,0
PHRF1,ENSG00000070047,ENST00000416188,51,54,576521,611964,35444,0
USP30,ENSG00000135093,ENST00000257548,47,56,109490391,109525831,35441,0
NBPF15,ENSG00000243452,ENST00000442702,5,12,148560843,148596267,35425,0
ATP1A4,ENSG00000132681,ENST00000368081,65,69,160121360,160156767,35408,0
OTUD5,ENSG00000068308,ENST00000156084,45,50,48779488,48814893,35406,0
CELF6,ENSG00000140488,ENST00000287202,39,44,72577068,72612470,35403,0
XKR7,ENSG00000260903,ENST00000562532,18,38,30555805,30591190,35386,0
CWF19L1,ENSG00000095485,ENST00000354105,55,63,101992055,102027437,35383,0
OR52A1,ENSG00000182070,ENST00000380367,28,78,5172239,5207612,35374,0
EARS2,ENSG00000103356,ENST00000449606,41,48,23533335,23568696,35362,0
TMEM185A,ENSG00000155984,ENST00000316916,24,31,148678216,148713568,35353,0
LINS,ENSG00000140471,ENST00000314742,39,62,101107119,101142445,35327,0
CD80,ENSG00000121594,ENST00000264246,47,62,119243140,119278449,35310,0
CNTN2,ENSG00000184144,ENST00000331830,51,59,205012325,205047627,35303,0
ZDHHC7,ENSG00000153786,ENST00000564466,50,63,85009819,85045108,35290,0
EXOSC7,ENSG00000075914,ENST00000265564,48,51,45017722,45052962,35241,0
WFDC1,ENSG00000103175,ENST00000219454,38,57,84328252,84363450,35199,0
CATSPERG,ENSG00000099338,ENST00000409235,60,60,38826415,38861583,35169,0
ZNF541,ENSG00000118156,ENST00000314121,29,31,48023947,48059113,35167,0
OC90,ENSG00000258417,ENST00000603859,48,52,133036467,133071627,35161,0
OC90,ENSG00000253117,ENST00000254627,48,52,133036467,133071627,35161,0
FAM73B,ENSG00000148343,ENST00000358369,47,54,131799213,131834361,35149,0
NUS1,ENSG00000153989,ENST00000368494,41,59,117996665,118031803,35139,0
CCDC82,ENSG00000149231,ENST00000278520,33,52,96085933,96121068,35136,0
NDUFS1,ENSG00000023228,ENST00000455934,72,74,206988823,207023918,35096,0
TPGS2,ENSG00000134779,ENST00000334295,57,61,34374069,34409158,35090,0
DUSP27,ENSG00000198842,ENST00000361200,50,63,167063282,167098366,35085,0
PITRM1,ENSG00000107959,ENST00000380989,43,50,3179922,3215003,35082,0
FBP2,ENSG00000130957,ENST00000375337,50,59,97321002,97356075,35074,0
PSAP,ENSG00000197746,ENST00000394936,73,84,73576055,73611126,35072,0
UBE2N,ENSG00000177889,ENST00000318066,40,61,93800981,93836038,35058,0
FDX1,ENSG00000137714,ENST00000260270,28,38,110300607,110335605,34999,0
RNF168,ENSG00000163961,ENST00000318037,61,80,196195654,196230639,34986,0
PTGR2,ENSG00000140043,ENST00000555661,45,58,74318549,74353530,34982,0
RAB39A,ENSG00000179331,ENST00000320578,23,49,107799229,107834208,34980,0
TRIM23,ENSG00000113595,ENST00000231524,50,57,64885507,64920473,34967,0
TCTN1,ENSG00000204852,ENST00000397659,67,68,111051969,111086933,34965,0
FAM105B,ENSG00000154124,ENST00000284274,41,42,14664857,14699820,34964,0
IFNAR1,ENSG00000142166,ENST00000270139,44,50,34697209,34732168,34960,0
VIPR1,ENSG00000114812,ENST00000325123,37,51,42544115,42579059,34945,0
ZNF544,ENSG00000198131,ENST00000269829,33,60,58740070,58775010,34941,0
USP44,ENSG00000136014,ENST00000258499,43,67,95910336,95945266,34931,0
TRAM1,ENSG00000067167,ENST00000262213,39,44,71485677,71520604,34928,0
TGFBI,ENSG00000120708,ENST00000442011,50,58,135364584,135399506,34923,0
TBC1D10A,ENSG00000099992,ENST00000403477,62,65,30687982,30722890,34909,0
RAP2A,ENSG00000125249,ENST00000245304,36,63,98086476,98121382,34907,0
OAS3,ENSG00000111331,ENST00000228928,51,59,113376157,113411054,34898,0
ACTR10,ENSG00000131966,ENST00000254286,41,42,58666856,58701750,34895,0
BPHL,ENSG00000137274,ENST00000380379,44,52,3118926,3153812,34887,0
FAM175B,ENSG00000165660,ENST00000298492,36,57,126490354,126525239,34886,0
SON,ENSG00000159140,ENST00000356577,43,53,34914924,34949787,34864,0
NCF2,ENSG00000116701,ENST00000367535,88,91,183524860,183559716,34857,0
AGGF1,ENSG00000164252,ENST00000312916,63,71,76326210,76361059,34850,0
NRL,ENSG00000129535,ENST00000561028,47,60,24549376,24584223,34848,0
ZNF605,ENSG00000196458,ENST00000392321,1,7,133498048,133532892,34845,0
TRIM14,ENSG00000106785,ENST00000341469,50,53,100846637,100881480,34844,0
LTA4H,ENSG00000111144,ENST00000228740,42,48,96394606,96429439,34834,0
NFE2L2,ENSG00000116044,ENST00000397062,42,56,178095033,178129859,34827,0
CPSF6,ENSG00000111605,ENST00000435070,41,47,69633317,69668138,34822,0
PRR12,ENSG00000126464,ENST00000418929,37,45,50094900,50129696,34797,0
MRPS5,ENSG00000144029,ENST00000272418,47,53,95752952,95787745,34794,0
CD101,ENSG00000134256,ENST00000256652,47,67,117544382,117579167,34786,0
MAP7D3,ENSG00000129680,ENST00000316077,45,48,135298970,135333738,34769,0
SLC25A36,ENSG00000114120,ENST00000324194,34,36,140660729,140695492,34764,0
RAB4A,ENSG00000168118,ENST00000366690,34,42,229406879,229441641,34763,0
PANK2,ENSG00000125779,ENST00000316562,73,82,3869742,3904502,34761,0
PIWIL1,ENSG00000125207,ENST00000245255,48,56,130822432,130857182,34751,0
ZNF568,ENSG00000198453,ENST00000333987,32,54,37407243,37441990,34748,0
CHRDL2,ENSG00000054938,ENST00000263671,42,47,74407474,74442220,34747,0
C10orf129,ENSG00000173124,ENST00000341686,45,51,96953957,96988685,34729,0
FAM193B,ENSG00000146067,ENST00000514747,33,43,176946789,176981508,34720,0
LGALS8,ENSG00000116977,ENST00000526589,45,61,236681573,236716281,34709,0
GRIK1-AS2,ENSG00000183653,ENST00000333765,46,55,30968360,31003067,34708,0
GYPE,ENSG00000197465,ENST00000358615,47,64,144792020,144826712,34693,0
FRA10AC1,ENSG00000148690,ENST00000359204,34,39,95427640,95462329,34690,0
TKTL1,ENSG00000007350,ENST00000369915,58,62,153524024,153558700,34677,0
TNFRSF10A,ENSG00000104689,ENST00000221132,62,75,23047965,23082639,34675,0
COX16,ENSG00000133983,ENST00000389912,28,43,70791798,70826448,34651,0
UROS,ENSG00000188690,ENST00000368797,63,80,127477147,127511796,34650,0
TMEM68,ENSG00000167904,ENST00000334667,23,42,56651317,56685966,34650,0
ZNF732,ENSG00000186777,ENST00000419098,40,42,264464,299110,34647,0
IFNGR2,ENSG00000159128,ENST00000290219,67,71,34775202,34809828,34627,0
RRM2B,ENSG00000048392,ENST00000251810,66,71,103216730,103251346,34617,0
LYRM7,ENSG00000186687,ENST00000379380,21,33,130506503,130541119,34617,0
OFD1,ENSG00000046651,ENST00000340096,56,60,13752864,13787472,34609,0
POLR2J2,ENSG00000228049,ENST00000591000,8,9,102277474,102312068,34595,0
ZBTB37,ENSG00000185278,ENST00000367701,44,55,173838094,173872687,34594,0
DGKE,ENSG00000153933,ENST00000284061,34,48,54911460,54946036,34577,0
RASA4B,ENSG00000170667,ENST00000541662,7,9,102123590,102158157,34568,0
IFNAR2,ENSG00000159110,ENST00000342136,49,54,34602279,34636830,34552,0
ZNF251,ENSG00000198169,ENST00000292562,31,35,145946514,145980990,34477,0
SLC1A4,ENSG00000115902,ENST00000234256,54,67,65216535,65250999,34465,0
COPS3,ENSG00000141030,ENST00000268717,50,54,17150150,17184607,34458,0
LRRN3,ENSG00000173114,ENST00000451085,11,73,110731062,110765507,34446,0
HMOX2,ENSG00000103415,ENST00000570646,38,63,4525925,4560348,34424,0
SPATS1,ENSG00000249481,ENST00000288390,57,63,44310486,44344904,34419,0
ZC3H12D,ENSG00000178199,ENST00000409806,27,34,149771792,149806197,34406,0
